loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	44	45	52	39	50	47	48	49	50	49	62	44	34	65	42	64	45	44	50	55	47	64	40	45	56	52	42	51	48	54	36	48	40	52	47	45	50	63	56	48	46	44	51	48	70	49	49	59	61	64	55	45	53	42	49	42	43	46	52	47	50	53	45	40	68	49	59	41	50	54	61	55	53	59	44	36	60	42	57	41	54	50	43	45	44	57	53	56	51	50	53	54	42	55	50	64	57	46	46	45
ind2	60	59	53	52	46	61	34	70	52	47	61	58	45	57	48	57	52	68	48	59	58	48	39	60	41	53	49	57	47	42	43	48	50	57	38	55	59	41	53	34	51	41	40	53	60	47	42	45	44	46	45	52	53	69	47	50	50	42	48	68	43	47	38	49	48	43	30	51	47	55	46	51	48	48	53	65	46	54	50	50	43	52	67	38	48	48	46	46	52	67	54	57	52	45	55	65	61	46	50	50
ind3	45	51	44	48	56	44	57	46	41	58	49	44	46	49	54	44	50	47	51	50	48	55	51	41	36	48	51	44	45	44	61	53	60	55	45	46	49	51	54	45	49	49	52	41	41	54	36	46	50	61	49	55	50	63	55	44	42	41	51	56	61	47	51	42	48	51	47	56	53	54	34	49	56	53	53	49	49	47	57	55	59	43	53	61	59	41	51	52	41	59	44	56	49	46	45	53	46	50	58	41
ind4	51	45	49	60	51	42	59	56	49	54	43	53	61	46	46	63	44	50	51	49	50	53	40	48	72	47	54	48	68	40	47	62	51	58	45	45	64	49	49	57	63	47	57	42	58	60	52	45	53	56	50	44	47	52	54	45	43	59	49	48	55	41	50	46	51	44	45	54	49	52	38	44	56	46	52	45	53	49	43	48	48	48	40	53	52	51	57	47	49	58	49	60	49	51	61	47	46	46	56	41
ind5	44	57	46	48	55	53	50	47	52	48	43	54	57	39	59	39	45	67	40	47	45	38	43	67	54	46	58	43	48	50	50	52	55	54	55	53	50	45	54	57	47	70	54	42	55	46	53	47	48	57	61	56	45	40	54	49	47	55	48	51	55	52	45	56	45	55	50	51	49	42	56	60	51	47	53	48	50	51	56	51	57	30	49	41	64	54	63	52	49	50	55	44	52	52	57	56	54	60	46	46
ind6	50	56	50	54	49	65	59	54	45	40	45	49	59	43	44	55	43	49	46	47	42	54	40	43	45	48	44	64	49	38	60	46	55	61	57	50	55	48	56	53	37	45	58	57	52	48	51	58	49	46	42	50	51	35	44	50	54	64	45	42	47	47	57	48	41	45	51	50	46	47	56	47	58	48	53	60	59	47	42	49	39	56	48	43	51	60	47	39	59	57	37	39	62	42	38	48	59	49	54	48
ind7	35	51	54	39	70	48	52	34	51	55	60	54	48	50	40	51	57	55	50	56	50	69	51	49	47	41	41	61	58	54	43	47	58	52	46	48	62	50	57	50	56	54	53	64	44	54	47	40	52	54	49	49	54	66	54	59	47	57	57	45	51	62	50	49	51	52	48	46	45	45	56	54	52	47	61	50	44	49	47	46	37	55	56	47	50	53	38	56	44	66	53	56	57	47	33	52	48	41	53	62
ind8	68	44	67	53	50	39	63	44	58	62	54	41	43	44	46	36	45	47	49	39	38	50	54	57	45	61	49	57	48	57	53	48	49	67	60	61	49	62	44	56	43	32	47	46	48	49	51	50	52	57	47	40	42	39	53	59	45	57	55	59	52	44	51	38	54	53	57	40	36	56	60	58	34	53	52	48	51	44	46	58	50	37	41	62	55	52	52	40	46	51	45	50	49	47	50	35	45	52	58	55
ind9	56	52	52	52	54	39	53	50	47	50	49	53	46	44	41	57	59	43	49	56	42	60	47	54	50	48	43	48	54	41	42	36	48	57	57	54	45	47	47	49	40	51	56	55	50	47	57	62	49	50	57	46	47	48	48	31	48	50	56	46	55	59	50	52	50	57	57	57	42	48	50	68	47	49	58	55	59	41	42	45	50	44	51	45	53	36	59	56	45	47	48	47	47	54	50	56	45	42	47	43
ind10	45	59	46	59	44	52	63	44	41	46	34	55	55	58	44	43	54	57	40	54	35	39	43	49	36	53	54	51	50	50	52	48	46	45	57	54	54	52	66	43	48	65	42	49	60	48	55	53	44	47	67	43	43	45	48	47	40	52	52	47	38	44	47	51	49	56	48	56	60	57	53	55	43	58	50	55	43	58	51	57	57	52	55	54	45	47	32	44	41	48	54	52	56	64	57	49	55	41	56	56
