loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	12	15	11	9	9	8	10	9	14	12	11	16	8	10	7	5	7	8	7	12	15	12	13	11	7	8	5	6	12	12	14	12	8	5	4	12	6	10	18	12	7	8	11	11	7	7	10	15	7	9	11	13	6	8	14	7	10	17	8	9	4	8	11	4	14	6	11	8	10	8	7	17	14	10	4	10	8	6	14	10	8	12	11	9	11	7	11	7	13	12	12	6	8	14	6	10	8	11	14	8
ind2	18	10	9	10	13	9	7	7	13	12	14	7	15	6	8	7	11	4	10	9	13	9	10	14	14	15	8	7	12	2	8	12	12	13	9	13	9	6	9	12	12	12	17	17	13	8	9	10	13	8	7	5	9	8	7	10	8	14	10	9	9	6	4	13	15	11	8	4	8	12	7	6	7	11	11	13	7	10	15	10	8	14	8	8	10	12	7	12	10	9	11	9	15	6	11	7	10	9	9	10
ind3	10	7	7	10	11	9	8	14	6	15	11	6	11	11	14	5	11	11	12	9	15	7	10	11	7	10	12	11	15	9	10	7	11	12	16	8	8	15	12	13	7	14	9	12	11	10	15	9	6	8	8	6	8	9	12	10	6	12	14	12	13	12	7	7	10	7	9	16	12	17	10	7	9	13	12	8	8	8	14	14	9	7	13	9	5	6	12	22	9	13	11	8	14	16	12	5	9	9	7	9
ind4	15	8	13	10	13	8	11	10	7	9	7	6	6	10	10	14	14	8	6	15	8	11	7	7	9	14	10	11	9	9	7	10	9	9	11	5	15	11	7	8	5	9	13	10	10	10	9	10	6	10	15	10	7	7	10	21	13	11	8	3	14	6	6	9	10	7	6	13	5	11	9	10	11	10	16	9	7	7	8	14	10	4	7	15	8	12	6	6	12	11	8	10	11	8	10	11	5	9	13	9
ind5	9	11	14	5	15	14	10	11	11	5	17	16	12	11	8	14	9	13	9	15	8	6	13	6	9	8	7	11	10	12	12	7	9	9	9	8	9	12	8	9	7	8	9	9	9	9	19	10	10	16	15	13	7	15	9	10	7	7	6	9	7	15	5	12	6	13	7	5	10	17	13	12	7	15	11	14	9	13	11	8	10	8	8	8	7	15	17	4	10	15	9	6	8	7	4	5	9	7	15	14
ind6	11	7	13	16	6	16	9	10	10	9	6	9	10	14	9	12	13	15	10	15	10	12	13	12	7	12	14	12	5	6	11	8	16	9	16	11	11	15	8	8	9	8	8	10	10	18	11	10	3	14	3	14	9	12	8	9	10	4	13	13	9	8	15	10	9	11	7	11	7	5	12	9	6	12	6	13	7	10	11	5	5	14	5	17	15	7	7	7	13	9	11	11	10	11	13	11	5	11	9	16
ind7	7	12	14	14	4	14	7	13	8	9	7	10	11	6	8	8	12	12	13	10	7	12	10	9	7	10	10	10	7	13	6	8	8	9	4	14	8	10	7	13	8	10	9	9	12	10	12	10	7	10	15	9	10	8	8	15	11	16	10	11	14	12	9	8	10	6	11	10	8	10	8	8	8	12	9	9	15	13	5	11	5	14	6	5	10	14	7	8	10	10	5	9	10	10	14	8	12	13	9	7
ind8	9	10	8	10	14	11	11	6	12	9	13	6	7	10	19	8	15	8	9	6	7	9	6	4	9	8	9	13	12	7	14	8	12	13	11	12	12	10	9	10	12	4	13	13	12	8	6	4	5	5	13	12	8	16	17	11	6	9	7	7	11	8	15	13	11	11	9	12	15	12	10	12	10	13	11	5	5	6	12	9	6	8	7	12	7	7	14	9	10	16	8	11	14	9	10	7	12	10	17	11
ind9	15	11	11	12	12	7	12	13	13	13	14	11	16	9	10	13	12	8	14	13	14	6	9	13	9	12	12	11	15	10	13	15	10	10	13	12	16	9	8	6	15	12	6	6	12	9	6	6	8	9	15	12	8	12	11	12	15	6	9	7	15	8	5	12	13	6	11	8	15	6	13	11	11	3	14	17	11	10	10	7	12	14	9	8	5	13	12	9	19	13	19	18	13	6	14	5	10	2	10	10
ind10	11	12	13	6	13	11	5	11	10	7	9	8	14	8	12	11	9	8	11	8	12	9	14	8	13	14	11	6	8	11	13	6	9	9	8	9	12	6	9	9	14	20	8	8	13	8	15	10	12	14	13	8	11	14	5	12	12	10	16	12	14	4	6	9	11	10	14	11	8	6	13	5	6	11	11	8	8	11	8	17	15	6	6	8	9	10	4	14	11	11	10	9	14	13	12	8	3	5	8	12
ind11	13	13	12	8	14	10	11	10	6	8	11	10	15	11	8	9	7	8	10	14	7	12	8	12	18	10	4	10	7	5	15	20	14	6	17	7	7	16	9	11	13	9	10	13	14	9	9	10	10	8	10	13	7	10	6	13	12	11	6	7	5	10	6	9	10	8	10	9	12	18	8	6	15	13	11	8	7	9	11	9	10	4	7	10	9	16	10	7	10	13	9	8	11	12	9	11	10	14	11	6
ind12	12	13	6	11	15	8	12	9	10	12	13	8	8	9	9	9	11	10	13	8	10	6	8	11	12	8	8	16	10	7	8	5	12	4	7	6	11	11	9	12	13	13	12	6	14	10	8	6	10	13	6	3	11	10	10	14	13	7	8	11	6	7	11	6	14	10	8	9	10	9	10	8	15	5	5	11	4	18	12	8	15	9	8	12	8	9	8	4	14	10	11	11	6	10	8	9	8	7	10	9
ind13	13	14	12	8	6	18	10	11	12	7	12	6	10	9	9	13	9	13	5	13	9	14	15	9	12	8	14	13	17	7	9	9	16	11	7	15	5	6	10	11	7	9	7	14	11	6	11	8	7	8	16	8	14	11	10	5	7	10	10	16	7	12	12	6	11	11	13	17	7	10	7	13	6	11	6	10	10	11	8	7	14	13	11	12	12	5	8	11	12	7	11	6	4	9	11	12	12	9	11	14
ind14	12	9	14	7	15	13	11	9	6	11	5	9	9	18	11	8	9	12	8	8	7	4	13	17	6	12	6	9	9	11	8	16	12	13	10	7	8	8	13	12	11	14	7	8	19	7	8	16	11	7	12	9	9	10	11	8	11	10	7	8	7	12	9	11	9	9	13	12	10	14	14	7	8	7	7	14	6	8	9	5	8	7	8	7	11	10	12	9	11	14	8	8	6	10	11	14	11	11	13	12
ind15	17	7	8	13	15	4	10	13	6	14	11	13	16	11	10	8	11	11	15	9	14	13	9	7	6	10	9	11	12	13	9	12	14	7	12	16	10	15	13	6	16	7	8	13	11	15	11	5	10	15	8	13	6	9	9	10	8	8	5	11	15	11	12	7	11	13	9	11	10	7	15	8	7	14	8	11	14	9	10	10	11	12	9	7	15	13	11	8	10	14	8	13	6	5	7	8	7	8	10	11
ind16	16	10	11	11	16	12	10	12	12	8	13	11	12	6	16	16	12	6	12	10	7	6	14	12	14	4	10	16	10	10	9	6	7	12	12	8	10	13	4	10	12	15	14	10	6	11	15	13	5	8	11	10	11	15	11	10	11	9	6	14	13	20	12	6	13	12	8	14	8	11	11	14	10	10	14	8	9	4	12	11	12	9	9	17	14	15	11	25	9	18	9	10	10	8	13	12	8	15	7	12
ind17	10	5	8	12	9	14	11	9	10	16	12	6	11	9	10	10	14	9	9	6	7	11	9	9	10	11	12	15	9	7	10	14	7	5	10	16	12	8	6	11	11	17	11	6	10	7	10	8	15	13	13	2	9	11	7	8	7	14	11	10	7	10	7	11	15	6	8	13	13	10	9	6	5	6	14	10	11	11	10	8	12	13	14	10	15	8	9	13	14	14	6	12	11	15	12	11	7	6	11	6
ind18	10	13	13	16	15	5	11	7	6	12	9	11	16	9	5	12	10	7	12	12	7	15	9	15	8	17	11	11	11	12	6	13	12	9	7	13	12	14	10	8	10	8	14	6	5	14	11	17	9	7	10	6	13	8	12	12	8	10	11	7	6	5	9	14	12	15	5	13	10	11	13	5	16	8	12	14	13	8	17	7	6	7	8	9	8	10	5	17	14	11	6	13	11	8	17	8	8	12	7	10
ind19	15	11	9	10	7	11	11	9	6	9	8	7	9	11	11	13	11	9	8	13	8	10	12	13	5	14	8	5	9	5	12	10	10	9	15	4	9	11	6	14	9	8	13	4	8	5	10	10	15	13	13	9	9	12	12	13	8	6	9	5	14	7	4	6	10	12	13	15	7	8	11	8	9	8	14	12	4	8	15	8	10	13	10	7	5	4	10	5	10	7	10	13	14	3	8	10	8	12	12	7
ind20	6	14	13	7	6	6	9	12	9	8	7	6	5	13	14	8	13	14	7	9	7	13	11	11	11	8	7	14	7	6	10	8	11	15	9	6	14	8	11	8	10	7	17	5	7	9	12	4	8	13	12	11	12	9	14	12	10	13	8	4	6	4	12	14	13	10	7	6	7	15	9	15	7	10	4	5	16	12	14	9	9	12	12	14	7	12	12	12	12	10	10	7	10	14	9	14	12	17	16	10
